German Occupation Titles,English Translation
"Elektromonteur
  Gehilfe",Assistant electrician
"Elektromonteur
  Gehilfe",Assistant electrical operator
Elektrosäger,Electrical Sawyer
Elektroschweisser,Electrical welder
Elektrotechniker,Electrical technician
Erdgas - Fachmann,Gas expert
"Erfinder
  bekannter Mineralöl-Fachmann Herausgeber wissenschaftl. Fachwerke.","Researcher, expert in known oil resources, editor of scientific papers"
Erzieher,Educator
Evangel. Pfarrer,Evangelist Pastor
Evidenzhalterin und Karteiführerin,Evidence keeper (female) and files keeper
Exhaustorwärter,Exhaust keeper
Expedient,Shipping Clerk
"Expedient
  und Schreibkraft",Copyist and typist
Expert,Expert
Exportateur,Exporter
Fabrikant,Manufacturer
Fabrikbesitzer,Factory Owner
Fabrikdirektor,Factory Manager
Fabriksarbeiter,Factory Worker
Fabriksschmied,Factory Blacksmith / Forger
Fabriksvorarbeiter,Factory Leadman
"Facharbeiter
  in techniker Lagern.",Expert worker in technical shops
"Fachingenieur
  der Wärmetechnik,Spezialis f.Dampfkesselhäuser.","Engineer expert in heating
  technics, specialist of steam heaters/boilers"
"Fachingenieur
  für den Aufbau der Neuanlagen.","Engineer expert in construction
  of new plants"
"Fachingenieur
  für elektr-Anlagen.","Engineer expert in electrical
  installations"
"Fachingenieur
  für Neubau der Röhren-Destillation.","Engineer expert in new Tubular -
  Distilation"
"Fachingenieur
  für Raffinerieausbau.","Engineer expert in rafinerie
  enlargement"
"Fachingenieur
  für Turbinen-u. Dampfkess bau.","Engineer expert in turbines and
  steam heaters construction"
"Fachingenieur
  im Entwerfen elektro Anlagen","Engineer expert in design of
  electrical installation"
"Fachingenieur
  und Lei d. Emulsionsspalter-Fabrik.","Engineer expert in
  Emulsion-cracking unit?"
"Fachkraft
  d. Expedition",Skilled person for Expedition
"Fachkraft
  für Kontierung und Verrechnung","Skilled payable & receivable
  clerk"
"Fachkräfte
  für Analysenbestimmungen des Rohöles und seine Fertigfabrikate.","Experts in usage analyse of the
  crude and its derivates"
Fachlehrer,Professional Teacher
"Fachleute
  für Deuerlöschgeräte und Spezialisten für Erzeugung von Schaumlöschpulver.","Expert in extinguishers and
  specialists in the production of foam extinction powder"
Fachmann,Technician
"Fachmann
  f. Rotary-Werkzeuge",Rotor tool technician
"Fachmann
  für den Aufba der Neuanlagen.","Construction expert for new
  plants"
"Fachmann
  für Eisen- und Metallgiesserei.","Expert for Iron and metal
  fondries"
"Fachmann
  für Feuerlöschapparate u. Geräte","Expert in fire extinction
  materials"
Fährdienst,Boat Service Chief
Fahrer,Driver
Fahrrad Mechaniker,Bicycle Mechanic
Fahrradmacher,Bike Manufacturer
Fahrradmonteur,Bike Assembler
Fahrradschlosser,Bike Locksmith 
Farbe Industrieller,Paint Industrialist
Färber,Painter
"Färber
  u. Chemisch Futier",Dyer and Chemical ?
"Farber
  und Reiniger",Painter & cleaner
Färbermeister,Dye Master
Farbhändler,Paint Dealer
Fassbinder,Maker of wooden casks
Fassbindergehilfe,Assistant maker of wooden casks
"Feinmechan.
  u. Uhrmacher",Precision watchmaker
Feinmechaniker,Precision mechanic
"Feinmechaniker
  u. Kinooperateur","Precision mechanic & movie
  maker"
Feinmechanikergehilfe,Assistant precision mechanic
Feinschleifer,Honer
Feinschlosser,Precision Locksmith
Feldarbeiter und Maschinist,Field Worker and Machinist
Feldgendarm,Military Policeman
Feldscher,Land Surveyor 
Feldscher,Medic
Feuerwehr Instrukteur,Fire Brigade Instructor
Feuerwehrmann,Fireman
Filmschauspieler,Movie Actor
Filmtechniker,Movie Technician
"Finanz
  u. Anlagebuchhalter",Financial Bookkeper
Finanzbeamter,Finance Functionary
Finanzier,Financier
Finanzwirtschaftsberater,Financial Advisor
Firmenschrifter,Companies Editor
Firstingenieur,Ridge Engeneer
Fischer,Fisherman
Fishergerätemachinist,Fisher'S Equipment Operator
Fleischbeschauer,Meat Inspector
Fleischer,Butcher
Fleischer/Koch,Butcher / Cook
Fleischer/Metzger,Butcher / Butcher
Fleischermeister,Master butcher
Fleischhacker,Meat Hacker
Fleischhauer,Meat Cutter
Fleischhauergehilfe,Meat Cutter Assistant
"Fleischs
  und Selcher Fleischer",Butcher and Smallgoodsmaker
Flieger,Airman
Fliegeroffizier,Officer Airman
Fliesenleger,Tile Setter
Flösser,Rafter
Flugzeug-Mechaniker,Airplane Mechanic
Flugzeugmonteur,Airplane Assembler
Flugzeug-Schlosser,Airplane Locksmith
Flugzeug-Techniker,Airplane Technician
Former,Molder
Forst u. Sägebetriebstechn.,Technician Forest and Sawmills
Forstarbeiter,Forest Worker
Forstbeamter,Forest Functionary
Förster,Forest Ranger
Forstingenieur,Forest Engeneer
Fotograf-Optiker,Photographer / Optician
Fotolaborant,Photo Labo Worker
Fotoreporter,Photo Reporter
Frachter,Carrier
Fräser,Cutter
Fremdenführer,"Guide (Tourist), Cicerone"
Friesensortiererin,Tile sorter - parquet floors
"Friesen-u.
  Parkettsortir",Tile and Parkettrie Sorter
Friseur,Hairdresser
Friseurmeister,Master Hairdresser
Fuhrmann,Waggoner
Funker,Radio Operator
Galvanisateur,Galvaniser
Gänzefellebearbeiter,Goose Skin Processor
Garagearbeiter,Garage Worker
Garagenbesitzer,Garage Owner
Garderobier,Dresser
Garten Arbeit.,Garden Worker
Gärtner,Gardiner
Gärtner,Gardener
"Gas- u.
  Wassermonteur",Gas and water pipe assember
"Gas-&
  Wasserinstallateur. Techniker",Gas and Water Pipe Technician
Gaschemiker,Gas chemist
Gasingenieur,Gas engineer
Gasinstallateur,Gas pipe fitter
Gasmonteur,Gas pipe assembler
Gastechniker,Gas engineer
Gastechniker,Gas works technician
"Gastechniker
  Bohrmstr.",Head gas drilling technician
Gasthofbesitzer,Inn Owner
Gastwirt,Restaurateur / Barkeeper
"Gas-u.
  Wasserinstallateur",Gas and water works installer
Gasvermesser,Gas surveyor
Geflügelzüchter,Poultryman
Gehilfin,Assistant
Geistlicher,Clergyman
Gemeindebeamter,Municipal Functionary
Gemüsehändler,Vegetable Monger
Gendarmeriewachtmeister,Constabulary (Police) Patrolman
Generaldirektor,General Manager
Geologe,Geologist
Geometer,Landmeter
Geometer Ing.,Landmeter Engeneer
Geometer Zeichner,Landmeter'S Drawer
Geometerassistent,Landmeter Assistant
Gerber,Tanner
Gerichtsbeamter,Magistrate Judge
Gerichtsdolmetscher,Court Translator
Gerichtsvollzieher,Baillif
Geschäftrektor,Business Headmaster?
Getreide Kaufmann,Grain Dealer
Getreideprüfer,Grain Inspector
gewerbeschule,Vocational school teacher
"Gieser
  u. Bohrgehilfe",Assistant casting and drilling
Giesser,"Founder, Moulder"
Glasarbeiter,Glass Worker
Glasbläser,Glass Blower
Glaser,Glazier
Glaser Lackierer,Glazier Varnisher
Glaser u. Isolatorgehilfe,Assistant Glazier and insulator
Glaser/Maler,Glazier Painter
Glasergehilfin,Assistant glazier
Glasermeister,Glazier Foreman
Glasermeister,Master glazier
Glashütter,Crystal Worker
Glasmacher,Glas Manufacturer
Glasschleifer,Glass Polisher
Glasschneider,Glass Cutter / Glasser
Glastechnik.,Glass Technician
Glaswärmer,Glass Warmer
Glühlampemtechn.,Glow-Lamp Technician
Goldarbeiter,Gold Worker
Goldschmied,Gold Smith
Gondolier,Gondolier
Grafiker,Graphic Designer
Graveur,Engraver
Grubenarbeiter,Miner
Grubenassistent,assistant Miner
Grubenbetriebsassistent,Assistant industrial mining
Grubenbetriebs-Leiter,Foreman miner
Grubenbohrer,Pits Driller
Grubenmaterialfachmann,Specialist mining equipment
Grubensteiger,Pits Overman
Grubentechniker,Technician mining
Grubentransportarbeiter,Mining transport worker
Grundbesitzer,Land Owner
Gummi Walzenmacher,Rubber Cylinders Manufacturer
Gummimeister,Master rubber worker
Gummitechniker,Rubber Technician
Gummiverarbeiter,Rubber processing worker
Gummivulkaniseur,Rubber Vulcanizer
Gürtler,Belt Manufacturer
Gutsbesitzer,"Squire, Estate Owner"
